source,target,value
tx,cylinder,2700
tx,light,7200
,circle,20
tx,circle,20
hi,light,900
tn,sphere,300
,circle,180
ct,disk,1200
al,disk,180
fl,disk,120
ca,circle,300
nc,fireball,180
ny,disk,1800
ky,unknown,180
nc,oval,30
ky,circle,1200
mi,disk,120
ct,disk,1800
,light,20
az,light,120
ma,other,2700
,disk,1200
ks,light,1200
sc,light,360
wa,oval,60
,cigar,3
tx,other,30
ky,light,30
ny,rectangle,300
ny,chevron,900
ab,triangle,270
ca,oval,180
co,unknown,1800
tx,sphere,180
tx,unknown,300
nh,light,300
,disk,120
tx,circle,60
mi,other,120
ny,formation,20
,triangle,600
ny,chevron,180
on,disk,600
wi,triangle,600
me,unknown,120
co,light,60
wa,unknown,2
ca,disk,300
wa,triangle,60
ky,triangle,180
sa,unknown,180
ga,triangle,120
nc,unknown,1800
pa,triangle,600
fl,formation,3600
tx,unknown,10
tn,cigar,60
tx,unknown,30
,sphere,1200
il,light,8
tn,other,60
tx,cigar,3600
ny,rectangle,120
ar,light,5
on,sphere,3600
pr,,0
wi,,120
ca,,60
mo,triangle,3
,light,300
sc,light,300
oh,cylinder,60
in,delta,14400
az,sphere,30
ga,triangle,300
mn,other,3600
,disk,15
ca,changing,300
az,fireball,15
il,cylinder,1800
nv,cigar,600
nv,circle,2700
ny,triangle,60
wa,triangle,600
nc,light,2
nf,egg,7200
tn,fireball,15
ca,changing,3600
pq,egg,5400
ks,unknown,600
tx,other,10
ca,fireball,3600
wa,sphere,45
ca,circle,90
mo,light,0
nv,light,10800
ne,sphere,300
,flash,1
